"ID";"Periods";"TotalSupply_1";"IndigenousProduction_2";"ProductionFromOtherSources_3";"ImportsOfGaseousNaturalGasTotal_4";"ImportsViaNorway_5";"ImportsViaGermany_6";"ImportsViaBelgium_7";"ImportsViaUnitedKingdom_8";"ImportsViaDenmark_9";"ImportsOfLNGTotal_10";"ImportsViaTheUnitedStates_11";"ImportsViaNorway_12";"ImportsViaRussia_13";"ImportsViaAfrica_14";"ImportsViaAsia_15";"ImportsViaAmericaExcludingUS_16";"ImportsViaOtherUnknown_17";"ExportsOfGaseousNaturalGasTotal_18";"ExportsToNorway_19";"ExportsToGermany_20";"ExportsToBelgium_21";"ExportsToUnitedKingdom_22";"ExportsToDenmark_23";"ExportsOfLiquefiedNaturalGasLNG_24";"Bunkers_25";"StockChange_26";"TotalConsumption_27";"TotalViaTheMainGrid_28";"ElectricityPowerPlants_29";"OtherConsumers_30";"ViaRegionalGrids_31";"ConsumptionByProductionAndTransport_32";"ClosingStock_33";"ClosingStockGaseousGas_34";"ClosingStockLiquefiedNaturalGas_35";"Flaring_36";"StorageCapacityTotal_37";"StorageCapacityGaseousGas_38";"StorageCapacityLiquefiedNaturalGas_39"
"438";"2004KW02";"    9465";"   13529";"       3";"    4890";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    8991";"";"";"";"";"";"";"       .";"      34";"    9465";"    5835";"    2072";"    3763";"    3469";"     161";"       .";"";"";"       9";"";"";""
"439";"2004MM07";"    2875";"    3663";"       1";"    1746";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2532";"";"";"";"";"";"";"       .";"      -3";"    2875";"    2134";"     629";"    1505";"     693";"      48";"       .";"";"";"       3";"";"";""
"440";"2004MM08";"    2657";"    4030";"       1";"    1359";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2741";"";"";"";"";"";"";"       .";"       8";"    2657";"    1991";"     655";"    1336";"     619";"      47";"       .";"";"";"       3";"";"";""
"441";"2004MM09";"    2955";"    4875";"       1";"    1256";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3170";"";"";"";"";"";"";"       .";"      -7";"    2955";"    2011";"     702";"    1309";"     894";"      50";"       .";"";"";"       3";"";"";""
"442";"2004KW03";"    8487";"   12568";"       3";"    4361";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    8443";"";"";"";"";"";"";"       .";"      -2";"    8487";"    6136";"    1986";"    4150";"    2206";"     145";"       .";"";"";"       9";"";"";""
"443";"2004MM10";"    3783";"    6257";"       1";"    1649";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    4124";"";"";"";"";"";"";"       .";"       0";"    3783";"    2170";"     722";"    1448";"    1563";"      50";"       .";"";"";"       3";"";"";""
"444";"2004MM11";"    4783";"    8429";"       1";"    1518";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    5164";"";"";"";"";"";"";"       .";"      -1";"    4783";"    2164";"     681";"    1483";"    2549";"      70";"       .";"";"";"       3";"";"";""
"445";"2004MM12";"    5754";"   11002";"       1";"    1333";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    6576";"";"";"";"";"";"";"       .";"      -6";"    5754";"    2267";"     735";"    1532";"    3412";"      75";"       .";"";"";"       4";"";"";""
"446";"2004KW04";"   14320";"   25688";"       3";"    4500";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   15864";"";"";"";"";"";"";"       .";"      -7";"   14320";"    6601";"    2138";"    4463";"    7524";"     195";"       .";"";"";"      10";"";"";""
"447";"2005MM01";"    5456";"    9260";"       1";"    1854";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    6000";"";"";"";"";"";"";"       .";"     341";"    5456";"    2158";"     741";"    1417";"    3230";"      68";"       .";"";"";"       3";"";"";""
"448";"2005MM02";"    5425";"    8929";"       1";"    1537";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    5704";"";"";"";"";"";"";"       .";"     662";"    5425";"    2027";"     723";"    1304";"    3339";"      59";"       .";"";"";"       3";"";"";""
"449";"2005MM03";"    5015";"    7949";"       1";"    1819";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    5262";"";"";"";"";"";"";"       .";"     508";"    5015";"    2175";"     774";"    1401";"    2782";"      58";"       .";"";"";"       4";"";"";""
"450";"2005KW01";"   15896";"   26138";"       3";"    5210";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   16966";"";"";"";"";"";"";"       .";"    1511";"   15896";"    6360";"    2238";"    4122";"    9351";"     185";"       .";"";"";"      10";"";"";""
"451";"2005MM04";"    3496";"    5648";"       1";"    1813";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3894";"";"";"";"";"";"";"       .";"     -72";"    3496";"    1883";"     635";"    1248";"    1556";"      57";"       .";"";"";"       3";"";"";""
